entity 1,relation,entity 2,sentence
Muni1,son of,Ahar,Muni1 son of Ahar .
Muni2,son of,Kuru,Muni2 son of Kuru .
Muṣala,son of,Viśvāmitra,Muṣala son of Viśvāmitra. b .
Nābhāgāriṣṭa,son of,Manu,Nābhāgāriṣṭa son of Manu Vaivasvata .
crane,son of,Kaśyapa,Nāḍījaṅgha a crane son of Kaśyapa . b .
Suparṇa,son of,Garuḍa,Nāgāśin a Suparṇa son of Garuḍa .
Naikadṛś,son of,Viśvāmitra,Naikadṛś son of Viśvāmitra. b .
Niṣadhas,son of,Vīrasena,Nala1 king of the Niṣadhas son of Vīrasena and husband of Damayantī                        . Cf. also the following synonyms Naiṣadha . Niṣadhādhipa . Niṣadhādhipati . Niṣadharājendra . Niṣadheśvara . Puṇyaśloka . Vīrasenasuta
Devarṣi,son of,Parameṣṭhin,Nārada1 a Devarṣi son of Parameṣṭhin often mentioned together with Gandharvas and therefore presumably himself a Gandharva. Cf. Nārada2  bis twenty four kings who have died                . b . b bis . d . ii with matted locks and attired in golden rays he bore in his hand a staff made of gold and a waterpot of gold he was accomplished in song and dance and aed by gods and brahmans he had with him a beautiful vīṇā of melodious notes made of tortoise shell he was wont to provoke quarrels and fond of quarrel . b . b . b . b . b . b . b . b . b . b . b . f . b . p .    . b . b . c . Cf. Brahmarṣi Devarṣi Parameṣṭhija Parameṣṭhin Parameṣṭhiputra Surarṣi.
Asura,son of,Bhūmi,Naraka1 an Asura son of Bhūmi  and slain by Kṛṣṇa    name of a country. b . b Lomaśa told N. aspired to the position of Indra  by practising austerities during years and by learning. Indra became afraid and thought of Viṣṇu who then slew N. with his hand . c . f . c the mother of N. asked the Vaiṣṇava weapon for her son from him it passed over to Bhagadatta    . b . b . Cf. Bhauma Daitya Daityendra Dānava.
Nariṣyat,son of,Manu,Nariṣyanta or Nariṣyat son of Manu Vaivasvata.
Navatantu,son of,Viśvāmitra,Navatantu son of Viśvāmitra. b
Suparṇa,son of,Garuḍa,Niśākara2 a Suparṇa son of Garuḍa.
Nimi2,son of,Dattātreya,Nimi2 son of Dattātreya and father of Śrīmat .
Suparṇa,son of,Garuḍa,Nimiṣa1 a Suparṇa son of Garuḍa .
Niramitra1,son of,Nakula,Niramitra1 son of Nakula .
Ogharatha,son of,Oghavat2,Ogharatha son of Oghavat2. b .
Suparṇa,son of,Garuḍa,Padmaketana a Suparṇa son of Garuḍa .
Pāṇḍu,son of,Vyāsa,Pāṇḍu son of Vyāsa by Ambālikā the wi of Vicitravīrya husband of Kuntī and Mādrī and father of the five Pāṇḍavas            .  P. then at the command of Dhṛtarāṣṭra offered his wealth to Bhīṣma Satyavatī Kausalyā Vidura etc and with the wealth acquired by him Dhṛtarāṣṭra performed horse sacrifices. With Kuntī and Mādrī he became a permanent inhabitant of the woods addicted to hunting on the southern slope of the Himālaya supplied with every object of pleasure and enjoyment at the command of Dhṛtarāṣṭra .  The muni Kindama inflicted a curse on P cf. Agastya . P. declared that he would lead the life of a brahmacārin according to the āraṇyaśāstras and send his attendants to Hāstinapura to inform Bhīṣma etc and with his wives protected by mahābhūtas Siddhas and paramarṣis he traversed the mountain of Nāgaśata Caitraratha Kālakūṭa Himavat Gandhamādana Indradyumnasaras and Haṃsakūṭa then he practised ascetic austerities on Śataśṛṅga . P. became dear to the Siddhas Cāraṇas and ṛṣis and like to a brahmarṣi. On the new moon day when the maharṣis assembled in order to partake of a great gathering of gods ṛṣis and pitṛs in the abode of Brahmán P. wanted to accompany them with his wives from Śataśṛṅga to the north but they told him that the princesses could not ascend the king of mountains where they had seen the retreats of gods Gandharvas and Apsarases and the gardens of Kubera where only Vāyu and the Siddhas and the para marṣis could go. As he complained of being childless they told him to let somebody else raise offspring for him. P.s conversation with Kuntī. P. quoted the words of Manu Svāyambhuva  and the example of Śāradaṇḍāyanī . Kuntī in reply alleged the Paurāṇic narrative of  Vyuṣitāśva  and entreated Pāṇḍu to beget children by his ascetic power . P. said that women formerly were not bound to adhere faithfully to their husband and were not regarded sinful when yielding to their desire that practice was applauded by the maharṣis and even now prevailed among birds and beasts and among the Uttara Kurus. It was the muni Śvetaketu  who established the now existing practice . P. further alleged the example of Madayantī  and of Vyāsa . Kuntī related to Pāṇḍu how she had obtained the mantra from Durvāsas  P. told her to invoke Dharma .  P. died in accordance with the curse inflicted on him by Kindama . Kuntī wished to be burnt together with him but this Mādrī did not allow and herself ascended the funeral pyre . The ascetics took Kuntī the children and the two corpses to Hāstinapura. Hearing of the arrival of thousands of Cāraṇas  and munis people soon after sunrise began to come out from the city to see together with Bhīṣma Somadatta Bāhlika the blind rājarṣi the kṣattṛ Vidura Satyavatī Kausalyā Gāndhārī accompanied by the other ladies of the royal household and the sons of Dhṛtarāṣṭra. It was seventeen days after the death of P. . The ṛṣis etc suddenly disappeared like a fata morgana . Dhṛtarāṣṭra caused Vidura  to celebrate the funeral ceremonies  of P. and Mādrī on the bank of the Gaṅgā . Cf. Bhārata Bharatarṣabha Bharatasattama Kaurava Kauravanandana Kauravarṣabha Kauravya Kauravyadāyāda Kausalyānanda vardhana Kurūdvaha Kurukulodvaha Kurunandana Kuru pati Kurupravīra Nāgapurādhipa Nāgapurasiṃha.
Pāṇḍunandana2,son of,Pāṇḍu,Pāṇḍunandana2  son of Pāṇḍu = Abhimanyu .
Suparṇa,son of,Garuḍa,Paṅkajit a Suparṇa son of Garuḍa .
Parameṣṭhin5,son of,Ajamīḍha,Parameṣṭhin5 son of Ajamīḍha .
brahman,son of,Raibhya,Parāvasu a brahman son of Raibhya and brother of Arvāvasu   . b . c .
Suparṇa,son of,Garuḍa,Pāribarha a Suparṇa son of Garuḍa .
Parīkṣit,son of,Abhimanyu,Parikṣit or Parīkṣit son of Abhimanyu and Uttarā and father of Janamejaya .  One day king P the son of Abhimanyu when hunting having pierced a deer lost sight of it. He then asked the muni Śamīka but received no answer as the muni was then observing the vow of silence in anger the king then placed upon the munis shoulder a dead snake and returned to his capital Hāstinapura. Of this the munis son Śṛṅgin was informed in a quarrel by his companion Kṛśa and then cursed P saying that within seven nights he should be stung to death by Takṣaka. The muni was not pleased with the curse as P. properly protected his subjects . Therefore he sent his disciple Gauramukha to inform P who became very repentant and sorrowful. A mansion was erected upon a solitary column and well guarded. The seventh day the brahman Kāśyapa was coming desirous of curing the king. Takṣaka in the shape of an old brahman met with Kāśyapa . As Kāśyapa revived a banyan which had been reduced to ashes by being bitten by Takṣaka Takṣaka gave to Kāśyapa more wealth than what he expected from P and having ascertained by means of yoga that P.s span of life was at an end Kāśyapa retired. Takṣaka went to Hāstinapura and hearing that P. was protected by poison neutralizing mantras and medicines he caused some serpents in the guise of ascetics to present the king with kuśa grass water and fruits in one of which he himself was concealed as a tiny ugly insect. As such he appeared when P. was eating the fruit. P. said The sun is setting to day have no more fear from poison therefore let this insect becoming Takṣaka bite me so that  the words of the ascetic may be rendered true. Then he placed the insect on his neck and was bitten by Takṣaka who coiled round his neck and uttered a tremens roar . The ministers of Janamejaya told him about P that he was virtuous a pupil of Śāradvata  in the science of arms and dear to Govinda and that he had got his name because he was born by Uttarā parikṣīṇeṣu Kuruṣu and that he ruled sixty years that being addicted to hunting he made over all affairs of state to his ministers then how he insulted Śamīka and his death  they also mentioned that Takṣaka had insulted the ṛṣi Uttaṅka . Cf. Abhimanyoḥ sutaḥ Abhimanyuja Bharataśreṣṭha Kirīṭitanayātmaja Kuru śreṣṭha Kurukulādhama Kurunandana Kururāja Kuru vardhana Pāṇḍaveya.
Parīkṣit,son of,Avikṣit,Parikṣit2 or Parīkṣit son of Avikṣit .
Parīkṣit,son of,Anaśvan,Parīkṣit son of Anaśvan .
Devarṣi,son of,Nāradas,Parvata1 a Devarṣi son of Nāradas sister often mentioned together with Gandharvas            . b . b .  b . b . b . Cf. next.
brahman,son of,an,and   .  Questioned by Yudhiṣṭhira about the virtue of women Mārkaṇḍeya saying that the work of a mother is more difficult than that of a father and that for women neither sacrifices nor śrāddhas nor fasts are of any efficacy but that they can win heaven only by serving their husbands related When the brahman Kauśika who had studied the Vedas and the Upaniṣads was reciting the Vedas under a tree a female crane befouled his body and looked upon with anger by Kauśika fell to the ground. Kauśika regretted his angry deed. When he had entered a village in order to procure alms in a certain house the wife first served her husband who came home tired and hungry with food etc and then began to conciliate the angry Kauśika who blamed her for exalting her husband above the brahmans. She said that she was no she crane that she knew that the ocean had been made brackish and undrinkable by the wrath of the brahmans that the fire of their wrath had not to this day been extinguished in the forest of Daṇḍaka but that she regarded her husband as her supreme god and deserved forgiveness that anger is a foe to men within themselves and that the gods know him to be a brahman who has abaned anger and passion etc. and who though himself injured never returns the injury etc that virtue  is difficult to understand but must be based on truth the ancients have declared that virtue depends on śruti but it is variously defined  and subtle to be understood  thou art cognisant of virtue and studiest the Vedas but think however that thou t not know what virtue really is a fowler  in Mithilā will discourse to thee on virtue. Kauśika blessed her and returned to his abode reproaching himself . He set out for Mithilā ruled over by Janaka and found out the fowler who was seated in a butchers yard selling venison and buffalo meat to a large crowd of buyers but he at once went to Kauśika and proving that he knew why he had come he led him to his abode where he honoured him duly and explained to him that notwithstanding his cruel trade which he had inherited from his sires and grandsires and which belonged to his caste by birth he led a virtuous life serving his superiors and old people speaking truth never  envying others giving to the best of his power etc. In the king of Janaka there did not exist a single subject that did not follow the duties of his caste. He did not slay the boars and buffaloes himself nor did he eat meat himself he fasted during the day and ate in the night even though the behaviour of his order be bad a person may yet be himself of good behaviour so also a person may become virtuous although he may by profession be a slayer of animals. It is the fault of the kings when the subjects decay and monsters dwarfs etc are produced but Janaka ruled justly. If one repents a wrong e by him he is delivered from his sin . If a man seeks redemption  after having committed a sin he becomes purified of all his sins . It is temptation  that constitutes the basis of sin. Then he gave some advice as to what is virtuous conduct  of the virtuous a man must not wrong to anybody he must give alms and must always be truthful  of the virtuous . The fowler and the animals slain by him are driven by their karman in a former life. In days of yore animals and cows used to be killed every day in the kitchen of king Rantideva at the cāturmāsya animals are sacrificed the śruti says The fires are fond of meat and at the sacrifices animals are killed by the regenerate and these animals are purged of sin and by mantras go to heaven. Regarding animal food this rule has been laid n by munis Whoever partakes of animal food after having first offered it duly and respectfully  to the gods and the Pitṛs is not polluted by the act. The śruti says Such a man is not one who partakes of animal food and a brahman who has intercourse with his wife during her season is a brahma cārin. King Saudāsa under the influence of a curse ate human flesh. Agriculture is considered to be praiseworthy though the plough destroys many creatures. Seeds of rice etc are all living creatures. As to hunting and the cutting of trees and herbs many creatures live in trees and fruits and water. The earth and the air are all swarming with living organisms which are unconsciously destroyed by men from mere ignorance . When life is at stake and in the matter of marriage it is justified to tell an untruth. Whichever conduces most to the good of all creatures is considered to be truth  . The fowler discoursed upon the influence of karman upon metempsychosis and salvation  . Questioned by Kauśika about the senses the fowler discoursed about the sinful  the evolution of sin is this First manas is bent on vijñāna thence successively originate kāma roṣa karman rāga dveṣa lobha moha vyāja adharma pāpa. The virtuous man discerns these evils by means of his spiritual insight . Then he shortly enumerated the elements of the brāhmī vidyā  twenty four   . A somewhat more detailed explanation of the five elements and their qualities. The terms vyakta and avyakta . Salvation etc are dependent on self discipline that is impossible without subduing the senses. The body is like a chariot the coachman being the soul and the horses the six senses . The three qualities sattva rajas and tamas . The five vital airs that are all seated  in the navel and by whose collision the internal fire is generated that digests the food. The arteries issuing from the heart in all directions carry the essence of food  acted upon by the ten prāṇas. The perception of the internal spirit purification of the heart destroys the good and evil effects of actions and leads to eternal beatitude. That state of peace and purification of heart  is likened to the state of a person who in a cheerful state of mind  sleeps soundly or to a lamp shining on a windless spot well kindled. Community with Bráhman cannot be taught to us even by the guru  . Saying Thou shalt see by what means have attained to this blissful state the fowler introduced Kauśika to his parents whom he honoured together with his wife and children like gods  . The fowler said Thou hast wronged thy father and thy mother for thou hast left home without their permission for the purpose of learning the Vedas and they have become blind from grief at thy loss. Thereby thy ascetic merit etc have become useless to thee. Do return home this very day. Kauśika acknowledged that the fowler had rescued him when he was on the point of falling into hell and that he did not consider him to be a śūdra as it was very difficult for a śūdra to learn the eternal religion  his being a śūdra must surely be due to any action in a former birth this Kauśika wished to learn. The fowler told  was formerly a brahman son of an eminent brahman and versed in the Vedas and the Vedāṅgas and friend of a king who was accomplished in the Dhanurveda and thence skilled in archery myself one day when accompanied the king on a hunting expedition killed a ṛṣi whom took for a deer and was cursed by him to be born as a fowler in the śūdra caste  but prevailed upon him to grant me that should remain a pious man and honour my parents and thereby attain great perfection remember my past life and again become a brahman. took the ṛṣi to the hermitage and he did not die. Kauśika saluted him respectfully and having returned home he honoured his old parents .
Payasya,son of,Aṅgiras,Payasya son of Aṅgiras. b .
Pradyumna,son of,Kṛṣṇa,Pradyumna son of Kṛṣṇa and Rukmiṇī           . g . b . b . b . Cf. also the following synonyms Jānardani . Kārṣṇi q.v. Makaradhvaja Makaraketumat q.v. Raukmiṇeya . Rukmiṇinandana . Sātvatamukhya Vṛṣṇipravīra q.v.
Prasandhi,son of,Manu,Prasandhi son of Manu. b .
Prasena,son of,Karṇa,Prasena son of Karṇa ʹ .
Kāśis,son of,Divodāsa,Pratardana1 king of the Kāśis son of Divodāsa ascended to heaven    . b . b . Cf. Divo dāsātmaja Kāśipati.
Prativindhya1,son of,Yudhiṣṭhira,Prativindhya1 son of Yudhiṣṭhira and Draupadī              . Cf. Yaudhiṣṭhira Yaudhiṣṭhiri.
Pratyagraha,son of,Vasu,Pratyagraha son of Vasu Uparicara .
Pravasu,son of,Īlina,Pravasu son of Īlina .
Pravīra,son of,Pūru,Pravīra son of Pūru .
Puṣkara3,son of,Varuṇa,Puṣkara3 son of Varuṇa  .
Rāma1,son of,Jamadagni,Rāma1 son of Jamadagni and Reṇukā otherwise called Paraśu Rāma which name however s not occur in the text of the Mhbhr. generally he is only named Rāma passages where he is mentioned only by synonyms are put within square brackets note the following abbreviations Bh. = Bhārgava J. = Jāmadagnya    . b .  Bhīṣma told Satyavatī When Rāma Jāmadagnya angry at the slaughter of his father had slain with his battle axe the Haihaya king Arjuna he exterminated the kṣatriyas twenty one times but the kṣatriya race was restored by the kṣatriya ladies cohabiting with the brahmans .     .  c .  For the destruction of Rāvaṇa Viṣṇu corporeally took his birth as the son of king Daśaratha.  saw him in Ayodhyā when he had been born. Then Rāma Bhārgava the  son of Ṛcīka and the son of Reṇūkā went to Ayodhyā with his bow with which he had destroyed the kṣatriyas to see Rāma Dāśarathi. Daśaratha sent Rāma to receive him. Rāma Dāśarathi stringed Rāma Bhārgavas bow without exertion and enabled him to see him in his true form and to behold in his body the Adityas the Vasus the Rudras the Sādhyas the gaṇas of the Maruts the Pitṛs Hutāśana the nakṣatras and planets the Gandharvas the Rākṣasas the Yakṣas the rivers and tīrthas the eternal ṛṣis named Vālakhilyas who had become identical with Brahmán the Devarṣis the seas and mountains the Vedas with the Upaniṣads the vaṣaṭkāras and the sacrifices the Sāmans in their living form the Dhanurveda the clouds rains and lightnings then he shot a celestial shaft presented to him by Rāma Bhārgava at this the earth was filled with sounds of thunder etc and began to quake. Rāma Bhārgava was for a time deprived of his senses and the shaft came blazing back into Rāma Dāśarathis hands. Rāma Bhārgava proceeded to the Mahendra mountain where he dwelt in terror and shame till after a year his pitṛs beholding him deprived of energy caused him to bathe in the sacred river Vadhūsara especially in the tīrtha Dīptoda where Bhṛgu had practised austerities in the devayuga by this R. regained his energy .  After having lamented and cremated his father R. vowed to slay the entire kṣatriya caste he then killed the sons of Arjuna Kārtavīrya and the kṣatriyas who followed them and twenty one times he made the earth devoid of kṣatriyas then he made five lakes of blood in Samantapañcaka where he offered libations  to the Bhṛgus and Ṛcīka appeared to him and gave him advice. At a sacrifice R. satisfied Indra and gave the earth to the ṛtvijes and a golden altar vyāmas in breadth and in height to Kaśyapa which Kaśyapa allowed the brahmans to divide in shares . After having given the earth to Kaśyapa. R. dwelt on the Mahendra mountain bis in the midst of the mountain             . b .  also Rāma Jāmadagnya will die without being satiated. The calf having been stolen and his father slain by the kṣatriyas he slew the invincible Kārtavīrya. With his bow he slew kṣatriyas among them brahman hating kṣatriyas and  Dantakrūra  of the Haihayas he slew with his club with his sword by hanging etc. he proceeded against the Kāśmīras etc and slew them all bringing all the eighteen dvīpas of the earth under his subjection he performed sacrifices his sacrificial altar  and the earth he gave as dakṣiṇā to Kaśyapa etc. having divested the earth of kṣatriyas for twenty one times he gave the earth to the brahmans and it was Kaśyapa who accepted it with its seven dvīpas. Then Kaśyapa told R. to go out of the earth R. with his arrows caused the ocean to stand aside and repairing to the Mahendra mountain he continued to live there Brahmāstra. b . b In the race of the Bhṛgus was Jamadagni. His son Rāma by ascetic penances gratified Bhava  in order to obtain weapons Śiva showed himself to him and promised him all weapons when he would become pure those weapons burn a person who is not deserving of them. With penances etc and homa performed with mantras Rāma aed Śiva for many years. Gratified with him Śiva repeatedly proclaimed his virtues in the presence of . and Ṛ. Meanwhile the Daityas became very mighty and afflicted the gods who having failed to vanquish them repaired to Śiva. Śiva summoned Rāma and prevailed upon him to slay the Dānavas. Then touched by Śiva his wounds were immediately healed and Śiva gave him all the celestial weapons and granted him boons .  cc R. cursed Karṇa that he should forget the Brahmāstra . b .  . b . b . g . b . c . b . b . c . d Having slain Arjuna Kārtavīrya and destroyed his troops he afterwards repeatedly destroyed the kṣatriyas begotten by brahmans upon kṣatriya women who had lost their children twenty one times. Then a bodiless voice from heaven which was heard by all people told him to desist and as he refused being unable to forgive the slaughter of his father his Pitṛs  told him the old story of king Alarka and caused him to practise penances by which he attained to high success .
Ayodhyā,son of,Daśaratha,Rāma2 Dāśarathi king of Ayodhyā son of Daśaratha and husband of Sītā bis                                   .  R of countless virtues the elder brother of Lakṣmaṇa lived for fourteen years in the woods together with his wife at the command of his father in order to protect the ascetics he at Janasthāna slew Rā. Rāvaṇa  ravished his wife the princess of Videha R. slew him with all his kinsmen and followers. . and Ṛ. applauded R. he performed horse sacrifices etc. when R. ruled his king Ṛ  and men lived together on earth nobody died in youth etc men were each blessed with children and lived for years R. reigned years and then went to heaven having established his line in eight dynasties . b . b śūdre hate brāhmaṇadārako jīvito dharmam āsadya Rāt satyaparākramāt. b Dvāparasya ca will slay Rāvaṇa . b . Cf. also the following synonyms Ayodhyādhipati .  Daśarathasya putra . Daśarathātmaja . Dāśarathi . Ikṣvākunandana Kākutstha Kausalyā nandivardhana Kausalyāmātṛ Kosalendra Lakṣmaṇāgraja Rāghava q.v.
Raudra4,son of,Śukra,Raudra4 son of Śukra .
Laṅkā,son of,Viśravas,Rāvaṇa king of the Rākṣasas on Laṅkā son of Viśravas              in his drinking hall Gandharvas and Apsarases wait upon him he was the son of the ṛṣi Viśravas his queen was Manarī . b . Cf. also the following synonyms Daśagrīva . Daśakandhara . Daśānana . Daśāsya . Paulastya Paulastyatanaya q.v. Rakṣaḥpati . Rakṣas Rākṣasa Rākṣasādhipa Rāk ṣasādhipati Rākṣasaśreṣṭha Rākṣasa maheśvara Rākṣasapati Rākṣasapuṅgava Rākṣasarāja Rākṣaseśvara Rākṣasendra q.v.
Rukmaratha1,son of,Śalya,Rukmaratha1 son of Śalya    .
Bhojakaṭa,son of,Bhīṣmaka,Rukmin king of Bhojakaṭa son of Bhīṣmaka and brother of Rukmiṇī    . b . g . d  R. was a disciple of Druma that lion among the Kimpuruṣas on the mountain of Gandhamādana. He had obtained from his preceptor the whole fourfold  Dhanurveda and the celestial bow Vijaya belonging to the great Indra and equal to the Gāṇḍīva  and the Śārṅga . When he obtained Vijaya from Druma R. came to the Pāṇḍavas. Formerly when Kṛṣṇa had ravished his sister Rukmiṇī he set out in pursuit having sworn that he would not return without having slain Kṛṣṇa. But he was vanquished and did not return to  Kuṇḍina on the spot where he was vanquished he built the city of Bhojakaṭa .
Rumaṇvat,son of,Jamadagni,Rumaṇvat son of Jamadagni .
Rūpina,son of,Ajamīḍha,Rūpina son of Ajamīḍha and Keśinī .
Ṛcīka3,son of,Bhūmanyu,Ṛcīka3 son of Bhūmanyu .
Ṛcīkanandana,son of,Ṛcīka,Ṛcīkanandana son of Ṛcīka = Rāma Jāma dagnya .
muni,son of,Vibhāṇḍaka,Ṛṣyaśṛṅga a muni son of Vibhāṇḍaka  . d  Ṛ the son of Kāśyapa  born by a hind caused Indra to rain during a drought in the territory of Lomapāda who gave him his daughter Śāntā . . The viprarṣi Vibhāṇḍaka Kāśyapa practising austerities near a great lake saw the Apsaras Urvaśī whence his semen fell into the water and was lapped up by a hind that was drinking. That hind was a daughter of the gods . Brahmán had transformed her into a hind and when she had given birth to a muni she would be freed. She now gave birth to a son who was named Ṛṣyaśṛṅga because there was a horn on his head. He passed his days in the forest devoted to brahmacarya and he had never seen any human being except his father. At that time the king of the Aṅgas Lomāpāda a friend of Daśaratha had been shunned by the brahmans and was without a purohita because he had been  guilty of falsehood towards a brahman and therefore Indra did not give rain in his territory. At the advice of a wise brahman he did atonement for his sins and appeased the brahmans. Thereafter he assembled his ministers in order to discuss means for bringing Ṛ. to his land. According to their counsel a courtezan with a number of women etc was sent to Ṛ. . She had constructed a floating hermitage which she moored at a short distance from Vibhāṇ ḍakas hermitage and then sent her daughter a courtezan to Ṛṣyaśṛṅga. She refused the fruits foot washing etc saying that her religious vows consisted in not receiving such things but implied that she might embrace him. By giving him unsuitable food garlands beautiful garments and drinks and by playing and clasping him in her arms she made him overpowered with love and as she went away under the pretext of performing the agnihotra he became sad. When Vibhāṇḍaka  returned he wondered that Ṛ. was not splitting the logs for fuel etc and asked who had been there . Ṛ. said that a religious student  had come to him he had a mass of hair  and a pair of ornaments upon his wrist like his rosary  his matted hair  was neatly tied up and adhered to the forehead and was divided in two etc. He  wished to go to him and see him every day . Vibhāṇḍaka declared that it was a Rākṣasa and in vain spent three days in searching for this one. When Vibhāṇḍaka had gone out to collect fruits the courtezans allured Ṛ. to enter the bark which they unmoored and in this way they brought him to Lomapāda who prepared a beautiful forest named Nāvyāśrama  and kept Ṛ. in the female apartments. Suddenly rain poured n. Lomapāda gave his daughter Śāntā to Ṛ. When Vibhāṇḍaka was going to Campā in order to burn the king the city and his whole territory the king let kine be placed and fields ploughed along the road and ordered the cowherds to honour Vibhāṇ ḍaka with hospitality when he was fatigued and hungry and to say that all this belonged to his son and that they were his slaves. Thus Vibhāṇḍaka was appeased. According to the command of his father Ṛ as soon as a son had been born to him returned to his father in the wood and Śāntā followed and obeyed him as Indrasenā Nārāyaṇī was ever obedient to Mudgala etc    . Cf. Kāśyapa Kāśyapaputra Kāśyapātmaja.
Magadhas,son of,Jarāsandha,Sahadeva2 king of the Magadhas son of Jarāsandha     . Cf. Jarāsandhasuta Jarāsandhātmaja Jārāsandhi Māgadha.
Saṃhanana,son of,Manasyu,Saṃhanana son of Manasyu .
Brahmarṣi,son of,Aṅgiras,Saṃvarta1 a Brahmarṣi son of Aṅgiras      . b . b . b . Cf. Āṅgirasa Viprarṣi.
Saṃyāti1,son of,Nahuṣa,Saṃyāti1 son of Nahuṣa .
Sūta,son of,Gavalgaṇa,Sañjaya1 a Sūta son of Gavalgaṇa   .  The muni like Sūta S. was born of Gavalgaṇa . Cf. also the following synonyms Gāvalgaṇi . Sauti Sūta Sūtanandana Sūtaputra q.v.
Sannateyu,son of,Raudrāśva,Sannateyu son of Raudrāśva .
Suparṇa,son of,Garuḍa,Saptarāva a Suparṇa son of Garuḍa .
Vṛṣṇi,son of,Vasudeva,Sāraṇa a Vṛṣṇi son of Vasudeva          .
Suparṇa,son of,Garuḍa,Sārasa a Suparṇa son of Garuḍa .
śārṅgaka,son of,Mandapāla,Sārisṛkka  or Sārisṛkva a śārṅgaka son of Mandapāla .
Suparṇa,son of,Garuḍa,Sarpānta a Suparṇa son of Garuḍa .
Pāñcāla,son of,Drupada,Satyajit a Pāñcāla son of Drupada        . Cf. Pāñcāla Pāñcālya.
Vṛṣṇi,son of,Śini,Satyaka a Vṛṣṇi son of Śini and father of Sātyaki      . Cf. Śineḥ suta .
Yuyudhāna,son of,Satyaka,Sātyaki a Vṛṣni properly named Yuyudhāna son of Satyaka and grandson of Śini.   . = .  .    .   .                             .           ʹ .      .   .   . Cf. also the following synonyms Ānartta . Śaineya . Śaineyanandana . Śauri q.v. Śineḥ pautra . Śineḥ putra . Śineḥ suta . Śiner naptā . Śinīnām adhipa Śinīnāṃ pravaro ratha Śinīnām ṛṣabha v. Śini pl. Śinipravara . Śinipravīra . Śinipuṅgava . Śiniputra . Śinivīra . Śinivṛṣabha . Dāśārha . Mādhava Mādhavāgrya Mādhavasiṃha Mādhavottama Madhūdvaha q.v. Sātvata Sātvataśreṣṭha Sātvatāgrya Sātvatamukhya Sātvatapravara Sātva tarṣabha q.v. Sātyaka . Vārṣṇeya Vṛṣṇi Vṛṣṇiśārdūla Vṛṣṇi kulodvaha Vṛṣṇipravīra Vṛṣṇipuṅgava Vṛṣṇisiṃha Vṛṣṇivara Vṛṣṇivīra Vṛṣṇy Andhakapravīra Vṛṣṇy Andha kavyāghra q.v. Yādava Yadūdvaha Yadūttama Yaduvīra Yaduvyāghra q.v. Yuyudhāna the proper name of Sātyaki .
Satyasandha1,son of,Dhṛtarāṣṭra,Satyasandha1 son of Dhṛtarāṣṭra  .
Satyasandha4,son of,Karṇa,Satyasandha4 son of Karṇa  .
Satyavat1,son of,Dyumatsena,Satyavat1 son of Dyumatsena and husband of Sāvitrī   . b . Cf. Citrāśva Dyumatsenasuta.
Sayana,son of,Viśvāmitra,Sayana son of Viśvāmitra. b .
Suparṇa,son of,Garuḍa,Somabhojana a Suparṇa son of Garuḍa .
brahman,son of,Śrutaśravas,Somaśravas a brahman son of Śrutaśravas .
śārṅgaka,son of,Mandapala,Stambamitra a śārṅgaka son of Mandapala and Jaritā .
Subāhu4,son of,Dhṛtarāṣṭra,Subāhu4 son of Dhṛtarāṣṭra.         .
Suparṇa,son of,Garuḍa,Subala4 a Suparṇa son of Garuḍa .
Sucāru1,son of,Kṛṣṇa,Sucāru1 son of Kṛṣṇa and Rakmiṇī .
Sucāru2,son of,Dhṛtarāṣṭra,Sucāru2 son of Dhṛtarāṣṭra .
brahman,son of,Gṛtsamada,Sucetas a brahman son of Gṛtsamada. b .
Sucitra3,son of,Dhṛtarāṣṭra,Sucitra3 son of Dhṛtarāṣṭra .
Sudarśana7,son of,Dhṛtarāṣṭra,Sudarśana7 son of Dhṛtarāṣṭra   .
Sudarśana1,son of,Agni,Sudarśana1 son of Agni and Sudarcanā. b . Cf. Āgneya Agniputra Pāvakasuta Pāvaki.
Suhasta,son of,Dhṛtarāṣṭra,Suhasta son of Dhṛtarāṣṭra    .
Suhavis,son of,Bhumanyu,Suhavis son of Bhumanyu .
Suhotra2,son of,Sahadeva,Suhotra2 son of Sahadeva Pāṇḍava .
Suhotṛ,son of,Bhumanyu,Suhotṛ son of Bhumanyu .
Sujāta,son of,Dhṛtarāṣṭra,Sujāta son of Dhṛtarāṣṭra .
Suketu2,son of,Śiśupāla,Suketu2 son of Śiśupāla .
Suketu3,son of,Citraketu,Suketu3 son of Citraketu .
Sumukha4,son of,Dhṛtarāṣṭra,Sumukha4 son of Dhṛtarāṣṭra .
Sunāman1,son of,Suketu,Sunāman1 son of Suketu .
Suparṇa,son of,Garuḍa,Sunāman3 a Suparṇa son of Garuḍa.
Suparṇa,son of,Garuḍa,Sunetra2 a Suparṇa son of Garuḍa .
Sunītha5,son of,Kṛṣṇa,Sunītha5 son of Kṛṣṇa and Jāmbavatī  .
Supārśva2,son of,Dhṛtarāṣṭra,Supārśva2 son of Dhṛtarāṣṭra .
Sūrakṛt,son of,Viśvāmitra,Sūrakṛt son of Viśvāmitra. b .
Suratha8,son of,Jayadratha,Suratha8 son of Jayadratha .
Suparṇa,son of,Garuḍa,Suruc a Suparṇa son of Garuḍa .
Suparṇa,son of,Garuḍa,Sūryanetra a Suparṇa son of Garuḍa .
